               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 122,            0.017965,            0.030239,           0.0018117,             0.82812,             0.58215,             0.62212,             0.40894,            0.022754,            0.034889,           0.0053192,            0.004555,            0.004555,            0.004555
                 123,            0.018102,            0.032689,            0.001857,             0.81726,             0.59749,             0.62075,             0.42324,            0.021698,            0.034458,           0.0053604,             0.00451,             0.00451,             0.00451
                 124,            0.017928,            0.031624,           0.0019616,             0.80424,             0.59287,             0.61091,             0.39866,            0.022491,            0.035374,           0.0054298,            0.004465,            0.004465,            0.004465
                 125,            0.017563,            0.030499,           0.0017086,             0.78392,             0.61072,             0.61638,             0.40888,            0.021714,            0.034918,           0.0054893,             0.00442,             0.00442,             0.00442
                 126,            0.018136,            0.030967,           0.0018128,             0.74294,             0.61669,             0.59955,              0.3981,            0.021978,            0.034074,           0.0053177,            0.004375,            0.004375,            0.004375
                 127,            0.017122,             0.02956,           0.0017434,             0.77651,             0.56453,             0.59124,             0.40091,            0.021895,            0.034434,           0.0053642,             0.00433,             0.00433,             0.00433
                 128,            0.017727,            0.030228,            0.001817,             0.74774,             0.58139,             0.59885,             0.38787,            0.023375,            0.035122,           0.0051983,            0.004285,            0.004285,            0.004285
                 129,            0.017271,            0.028434,           0.0015621,              0.7584,             0.60028,             0.60569,             0.40621,            0.022272,             0.03569,           0.0051395,             0.00424,             0.00424,             0.00424
                 130,            0.016969,            0.029795,           0.0017535,              0.7223,             0.63922,             0.61068,             0.40161,            0.023687,             0.03683,           0.0053169,            0.004195,            0.004195,            0.004195
                 131,            0.017147,            0.029483,           0.0015818,             0.71954,             0.62286,              0.6265,             0.42872,            0.021878,            0.035854,           0.0056873,             0.00415,             0.00415,             0.00415
                 132,            0.016451,            0.028483,            0.001684,             0.74634,             0.61391,             0.60073,             0.40896,            0.022279,            0.035839,           0.0055283,            0.004105,            0.004105,            0.004105
                 133,            0.016541,            0.027407,           0.0016717,             0.77686,              0.6019,             0.59865,             0.40774,            0.021839,            0.035385,           0.0051943,             0.00406,             0.00406,             0.00406
                 134,            0.016942,            0.029748,           0.0017086,             0.77322,             0.59032,             0.59028,             0.39932,            0.022092,            0.035915,           0.0050005,            0.004015,            0.004015,            0.004015
                 135,            0.016726,            0.028367,           0.0021328,             0.75917,             0.60934,             0.58173,             0.39162,            0.022489,            0.036021,           0.0051163,             0.00397,             0.00397,             0.00397
                 136,            0.017236,            0.031397,           0.0016797,             0.75022,              0.6045,             0.57899,             0.39063,            0.022252,             0.03632,           0.0052219,            0.003925,            0.003925,            0.003925
                 137,            0.016563,            0.029692,           0.0016788,             0.75166,             0.58469,             0.59775,             0.40696,            0.022533,            0.036767,            0.005304,             0.00388,             0.00388,             0.00388
                 138,            0.016729,            0.028636,           0.0017164,             0.74178,             0.58229,             0.58341,             0.39306,            0.022216,             0.03701,            0.005328,            0.003835,            0.003835,            0.003835
                 139,            0.016066,            0.028182,           0.0015298,             0.73152,             0.58262,             0.58122,             0.39559,            0.022226,            0.037057,           0.0055618,             0.00379,             0.00379,             0.00379
                 140,            0.016524,            0.028052,           0.0019041,             0.73946,             0.59207,             0.58911,             0.39689,            0.022347,            0.036808,           0.0055691,            0.003745,            0.003745,            0.003745
                 141,            0.016206,            0.027862,           0.0017694,             0.74808,             0.58849,             0.58877,             0.39231,             0.02274,            0.036858,           0.0056782,              0.0037,              0.0037,              0.0037
                 142,              0.0162,            0.028698,           0.0014904,             0.72864,             0.60667,             0.58267,             0.39121,            0.021681,             0.03625,           0.0057102,            0.003655,            0.003655,            0.003655
                 143,            0.015902,            0.027972,           0.0013296,              0.7357,             0.59348,              0.5848,             0.38231,            0.022375,            0.036353,           0.0056545,             0.00361,             0.00361,             0.00361
                 144,            0.016394,            0.028538,           0.0015684,             0.73529,             0.61693,             0.58755,             0.39555,            0.021647,            0.035913,            0.005529,            0.003565,            0.003565,            0.003565
                 145,            0.015865,             0.02775,            0.001745,             0.74253,             0.62206,             0.58235,             0.38253,            0.022512,            0.036218,           0.0051865,             0.00352,             0.00352,             0.00352
                 146,            0.015691,             0.02797,           0.0013662,             0.76255,             0.61745,             0.58783,             0.39224,            0.021803,            0.036193,           0.0050589,            0.003475,            0.003475,            0.003475
                 147,            0.015716,            0.028793,           0.0014104,             0.74981,             0.61049,             0.56557,             0.38156,            0.022197,            0.036366,           0.0050632,             0.00343,             0.00343,             0.00343
                 148,            0.015778,            0.028516,           0.0013222,             0.74148,             0.59017,             0.55849,             0.37456,            0.022158,            0.036213,           0.0051537,            0.003385,            0.003385,            0.003385
                 149,            0.015027,            0.028008,           0.0015732,              0.7434,              0.6094,             0.56269,             0.37791,            0.022432,            0.036289,           0.0051285,             0.00334,             0.00334,             0.00334
                 150,            0.015127,            0.026281,           0.0013715,             0.73431,              0.5909,             0.57677,             0.38934,            0.021822,            0.035992,           0.0051731,            0.003295,            0.003295,            0.003295
                 151,            0.015514,            0.027726,           0.0015827,             0.73869,             0.61428,             0.59235,             0.39085,            0.022201,            0.035681,           0.0051773,             0.00325,             0.00325,             0.00325
                 152,            0.015012,            0.026706,           0.0013593,             0.76598,             0.60578,             0.58589,             0.39848,             0.02224,            0.035826,           0.0052155,            0.003205,            0.003205,            0.003205
                 153,            0.015586,            0.027218,           0.0019305,             0.76818,             0.61201,             0.59211,             0.39531,            0.022198,            0.035867,           0.0050755,             0.00316,             0.00316,             0.00316
                 154,            0.015071,            0.028352,           0.0014833,              0.7768,             0.60005,             0.59002,             0.40278,            0.021656,            0.036208,           0.0049953,            0.003115,            0.003115,            0.003115
                 155,            0.014758,            0.026502,           0.0015545,             0.78462,              0.6025,             0.59371,              0.3951,            0.022267,            0.036868,           0.0050877,             0.00307,             0.00307,             0.00307
                 156,            0.014884,            0.027186,           0.0016454,             0.77869,             0.59984,              0.6065,             0.41168,            0.021949,            0.036599,            0.005069,            0.003025,            0.003025,            0.003025
